first,last,index,season_code,first_hoh,first_in_house,season_diversity
Brittany,Petros,1,bbus1,na,0,0.3
Cassandra,Waldon,2,bbus1,na,1,0.3
Curtis,Kin,3,bbus1,na,0,0.3
Eddie,McGee,4,bbus1,na,0,0.3
George,Boswell,5,bbus1,na,0,0.3
Jamie,Kern,6,bbus1,na,0,0.3
Jean,Jordan,7,bbus1,na,0,0.3
Josh,Souza,8,bbus1,na,0,0.3
Karen,Fowler,9,bbus1,na,0,0.3
William,Collins,10,bbus1,na,0,0.3
Will,Kirby,11,bbus2,0,0,0.17
Nicole,Schaffrich,12,bbus2,0,1,0.17
Monica,Bailey,13,bbus2,0,0,0.17
Hardy,Ames-Hill,14,bbus2,0,0,0.17
Bunky,Miller,15,bbus2,0,0,0.17
Krista,Stegall,16,bbus2,0,0,0.17
Kent,Blackwelder,17,bbus2,0,0,0.17
"Mike ""Boogie""",Malin,18,bbus2,1,0,0.17
Shannon,Dragoo,19,bbus2,0,0,0.17
Autumn,Daly,20,bbus2,0,0,0.17
Sheryl,Braxton,21,bbus2,0,0,0.17
Justin,Sebik,22,bbus2,0,0,0.17
Lisa,Donahue,23,bbus3,1,0,0.17
Danielle,Reyes,24,bbus3,0,0,0.17
Jason,Guy,25,bbus3,0,0,0.17
Amy,Crews,26,bbus3,0,1,0.17
Marcellas,Reynolds,27,bbus3,0,0,0.17
Roddy,Mancuso,28,bbus3,0,0,0.17
Gerry,Lancaster,29,bbus3,0,0,0.17
Chiara,Berti,30,bbus3,0,0,0.17
Josh,Feinberg,31,bbus3,0,0,0.17
Eric,Ouellette,32,bbus3,0,0,0.17
Tonya,Paoni,33,bbus3,0,0,0.17
Lori,Olson,34,bbus3,0,0,0.17
Jun,Song,35,bbus4,0,0,0.31
Alison,Irwin,36,bbus4,0,0,0.31
Robert,Roman,37,bbus4,0,0,0.31
Erika,Landin,38,bbus4,0,0,0.31
Jee,Choe,39,bbus4,0,0,0.31
Jack,Owens,40,bbus4,0,0,0.31
Justin,Giovinco,41,bbus4,0,0,0.31
Nathan,Marlow,42,bbus4,1,0,0.31
Dana,Varela,43,bbus4,0,0,0.31
David,Lane,44,bbus4,0,0,0.31
Michelle,Maradie,45,bbus4,0,0,0.31
Amanda,Craig,46,bbus4,0,0,0.31
Scott,Weintraub,47,bbus4,0,1,0.31
Drew,Daniel,48,bbus5,0,0,0.07
"Michael ""Cowboy""",Ellis,49,bbus5,0,0,0.07
Diane,Henry,50,bbus5,0,0,0.07
"Jennifer ""Nakomis""",Dedmon,51,bbus5,0,0,0.07
Karen,Ganci,52,bbus5,0,0,0.07
Marvin,Latimer,53,bbus5,0,0,0.07
Adria,Klein,54,bbus5,0,1,0.07
Natalie,Carroll,55,bbus5,0,0,0.07
Will,Wikle,56,bbus5,0,0,0.07
Jase,Wirey,57,bbus5,1,0,0.07
Scott,Long,58,bbus5,0,0,0.07
Holly,King,59,bbus5,0,0,0.07
Lori,Valenti,60,bbus5,0,0,0.07
Mike,Lubinski,61,bbus5,0,0,0.07
Maggie,Ausburn,62,bbus6,0,0,0.29
Ivette,Corredero,63,bbus6,0,0,0.29
Janelle,Pierzina,64,bbus6,0,0,0.29
